기준년월,방문자수
202301,196700.0
202302,172856.0
202303,277395.0
202304,602849.0
202305,615854.0
202306,710547.0
202307,936352.0
202308,996503.0
202309,1060878.0
202310,1237837.0
202311,1094516.0
202312,1074892.0
