기준년월,방한 외래관광객
202301,434429.0
202302,479248.0
202303,800575.0
202304,888776.0
202305,867130.0
202306,960638.0
202307,1032188.0
202308,1089133.0
202309,1098034.0
202310,1229899.0
202311,1114990.0
