food,store_name,위도,경도
간장게장,춘남식당,37.5615896264821,126.918127413756
간장게장,장안동 먹깨비 간장게장 해물아구찜,37.5688108189618,127.069843827191
간장게장,예담밥상,37.5425201943402,127.065222308231
간장게장,명현만간장게장무한리필,37.5515008030203,126.91395024016
간장게장,진미식당,37.550607750987,126.955802324859
간장게장,본가진미간장게장,37.5083270530231,127.111312208939
간장게장,보스 간장게장 서울식물원점,37.5722444079878,126.83284283132
간장게장,장안동 먹깨비 간장게장 해물아구찜,37.5688108189618,127.069843827191
간장게장,순미네행복게장 동대문점,37.5677113760105,127.007765983844
간장게장,레알 간장게장 무한리필 본점,37.6368480826814,127.030126161232
간장게장,장지녕 간장게장,37.532381186051,127.007257834517
간장게장,일미간장게장,37.5708963505639,127.071502974477
간장게장,홍대간장게장 홍일품,37.5480763374107,126.918723849723
간장게장,수라간,37.5619762648442,126.924654153
간장게장,산들해 송파점,37.5168418632122,127.113151435777
간장게장,한가람 본점,37.5625153279648,126.978928412409
간장게장,옹기꽃게장,37.6885019308631,127.041255889202
간장게장,필녀의 한정식,37.5026996589609,127.138331533475
간장게장,양반댁,37.5724228675599,126.986345478823
간장게장,연평도꽃게아구낙지,37.5677070768129,127.044849687717
간장게장,라메흐꺄도,37.5211270318868,126.887036322921
간장게장,고미정,37.5727032919594,126.937032800217
간장게장,어촌,37.6203849302826,127.028173848583
간장게장,신사꽃게당 압구정로데오점,37.5237561531657,127.037083772824
간장게장,게장게장게장 마곡본점,37.5596113961056,126.837242277605
간장게장,대방골,37.5309293878191,126.921083475319
간장게장,대문한정식,37.6637007124723,127.027547248279
간장게장,프로간장게장 신사본점,37.5145780257989,127.019168572867
간장게장,산들해반포,37.5043279449175,127.001088324244
간장게장,명량간장게장,37.5591532341498,126.836520966803
간장게장,섬집,37.5245145198466,126.965263794581
간장게장,강동반상,37.5498036802654,127.175347693962
간장게장,서산꽃게,37.5399066278021,126.947949818923
간장게장,수빈,37.5718326214987,126.934315419754
간장게장,평해옥,37.5733988267483,126.988941667722
간장게장,게방식당,37.5172793416394,127.039438577106
간장게장,화해당 여의도점,37.5270870121653,126.916930544113
간장게장,중앙갈치식당,37.5597882067481,126.977078575528
간장게장,홍익게장 홍대본점,37.5592971076413,126.916805613021
간장게장,큰기와집,37.5787470168012,126.985411258625
간장게장,서산간장게장,37.5708963505639,127.071502974477
간장게장,기깔난게장 무한리필 장안동본점,37.5670706913176,127.067266203438
간장게장,원조봉순게장,37.5610226183,126.962192415514
간장게장,오다리집 간장게장,37.5024741248281,127.036929842086
간장게장,꽃지 삼성점,37.5142207671959,127.061618047272
간장게장,일품진진수라 광화문점,37.5706161018862,126.980559892691
간장게장,신사꽃게당 본점,37.5194132595853,127.019725336668
간장게장,함초간장게장,37.5620005331406,126.986563787577
간장게장,게새장터,37.4975461306128,127.031093425879
간장게장,영의정 여의도점,37.5211195361581,126.930836281461
간장게장,꽃누리들밥 경복궁점,37.5773491901202,126.980283277
간장게장,전주청국장집,37.5153529303454,127.017751581004
간장게장,신가네 명품간장게장,37.6408464089227,127.01923563971
간장게장,꽃게나라,37.5559851906057,126.924959983779
갈비찜,한상도,37.5012561205416,126.948967568323
갈비찜,인생식당,37.5588715323451,126.946071334253
갈비찜,브라더매운갈비찜 문래본점,37.5170413247537,126.888151351038
갈비찜,최대감네,37.5740605788743,126.986112777089
갈비찜,감동식당 노원 본점,37.6616155780956,127.066592534371
갈비찜,대홍집 잠실새내본점,37.5099761918389,127.08093758217
갈비찜,성북동면옥집,37.595893623474,126.988630794544
갈비찜,사대부집 곳간,,
갈비찜,소신이쏘 신촌본점,37.5571916583588,126.935538464112
갈비찜,24시 산더미불고기,37.5494642492429,126.92059815387
갈비찜,매우매오 강남역별관,37.5035470261996,127.026603103656
갈비찜,신사랑매운갈비찜 수유본점,37.6387147644931,127.023716087019
갈비찜,곰바로곰탕,37.4909880663275,127.034017906367
갈비찜,광화문국밥,37.5689547897755,126.975422571498
갈비찜,들풀한상,37.5555074270899,126.919805526616
갈비찜,서촌기와집 경복궁본점,37.5765029422752,126.970233707163
갈비찜,옛촌매운갈비찜,37.5138868153175,127.109451314411
갈비찜,조선초가한끼 마포점,37.544433068066,126.944966011605
갈비찜,동선식당,37.5898357063339,127.019107353745
갈비찜,조양관한정식,37.49494258899,127.027426341397
갈비찜,북촌김치재,37.5778350343218,126.986191887225
갈비찜,동선식당 노원점,37.6561602591529,127.066049703246
갈비찜,등촌돼지갈비찜,37.5457167460093,126.861301821114
갈비찜,짚신매운갈비찜 잠실새내점,37.5103307332457,127.081988259655
갈비찜,필녀의 한정식,37.5026996589609,127.138331533475
갈비찜,담산 신촌본점,37.5562194725128,126.935027526438
갈비찜,오성식당,37.5051969938506,127.058127907336
갈비찜,혜화도담,37.5830258357993,127.000436557404
갈비찜,우공뭉티기,37.4873191631489,127.103108072457
갈비찜,구정옥,37.5627515424989,126.978283534325
갈비찜,사남매 전복갈비찜&해신탕,37.528175721234,126.843630611134
갈비찜,진고개,37.5630910150201,126.99282203871
갈비찜,담산 잠실새내점,37.5102619189209,127.079450332771
갈비찜,머거보까매운갈비찜,37.5537105611721,127.010650723963
갈비찜,갈비다움 역삼본점,37.502589421595,127.034962184701
갈비찜,강동반상,37.5498036802654,127.175347693962
갈비찜,한상차림밥상,37.5778669590177,127.025941448638
갈비찜,매우매오 강남역본점,37.5023476232326,127.026931213723
갈비찜,봉산옥 서초동본점,37.4833822130797,127.012453383943
갈비찜,너비집,37.565388515046,126.984107670036
