기준년월,소비금액
202301,30492783.0
202302,29118197.0
202303,49652637.0
202304,64305687.0
202305,66224729.0
202306,71149945.0
202307,69735660.0
202308,65027998.0
202309,75447928.0
202310,87007598.0
202311,78330013.0
202312,76404934.0
